,latitude,longitude,hour_of_day,day_of_week,Month,parent_incident_type,Council Districts
227,42.9293552849553,-78.8198661283283,0.0,Sunday,8.0,Theft,9.0
228,42.9035406588127,-78.8220590202628,0.0,Wednesday,7.0,Breaking & Entering,5.0
229,42.9097309351171,-78.8537363876737,9.0,Saturday,11.0,Theft,4.0
230,42.885864804246104,-78.8719908371981,12.0,Friday,7.0,Assault,4.0
231,42.9376339185503,-78.8150578467625,12.0,Friday,3.0,Theft,9.0
232,42.847516851320705,-78.83191156209,18.0,Saturday,8.0,Theft,6.0
233,42.931716705662296,-78.8364694506751,23.0,Friday,6.0,Robbery,9.0
234,42.892667908656,-78.8500798603406,12.0,Saturday,10.0,Theft,4.0
235,42.9472944211382,-78.8140109146781,18.0,Wednesday,9.0,Theft,8.0
236,42.841415958182004,-78.8155358012028,1.0,Saturday,1.0,Theft,6.0
237,42.934137867534204,-78.81986547292459,12.0,Saturday,7.0,Theft,9.0
238,42.902519410143206,-78.87229246279759,14.0,Friday,4.0,Theft,4.0
239,42.8495886,-78.8237178,18.0,Sunday,8.0,Assault,6.0
240,42.89588212173479,-78.83628551244621,15.0,Monday,12.0,Breaking & Entering,5.0
241,42.9474262383842,-78.81666329883079,10.0,Monday,3.0,Assault,8.0
242,42.957900366046296,-78.9016105253372,23.0,Thursday,12.0,Breaking & Entering,1.0
243,42.8997449892254,-78.87795410688459,8.0,Friday,10.0,Breaking & Entering,5.0
244,42.944290783772296,-78.8331969284447,15.0,Wednesday,10.0,Theft,9.0
245,42.9480987691295,-78.82933185527659,11.0,Friday,10.0,Theft,8.0
246,42.9061279719484,-78.80437664636129,23.0,Wednesday,7.0,Assault,2.0
247,42.9177245701741,-78.88139799692209,16.0,Thursday,12.0,Theft,7.0
248,42.9584009718126,-78.8847404037989,21.0,Tuesday,2.0,Robbery,1.0
249,42.8483342823427,-78.8239932380835,23.0,Wednesday,4.0,Theft of Vehicle,6.0
250,42.9095709598495,-78.8034188146321,0.0,Saturday,6.0,Theft,2.0
251,42.930487358515,-78.8075629834571,12.0,Tuesday,4.0,Theft of Vehicle,8.0
252,42.9086618934042,-78.8844151538985,12.0,Monday,4.0,Theft,3.0
253,42.86832550401329,-78.8632921388203,18.0,Sunday,1.0,Assault,5.0
254,42.8950392265539,-78.8061656679746,22.0,Friday,5.0,Robbery,2.0
255,42.942145810283,-78.8033747814014,22.0,Sunday,8.0,Robbery,8.0
256,42.8969761132386,-78.8118826216004,19.0,Thursday,5.0,Breaking & Entering,2.0
257,42.9459694532065,-78.8664449530069,16.0,Monday,4.0,Theft,7.0
258,42.9525286132952,-78.8261004702826,23.0,Sunday,2.0,Breaking & Entering,8.0
259,42.8406568278879,-78.8190576036235,12.0,Sunday,9.0,Breaking & Entering,6.0
260,42.8959780023188,-78.81699171070521,10.0,Thursday,6.0,Breaking & Entering,5.0
261,42.9549678483126,-78.89849955014499,1.0,Tuesday,1.0,Breaking & Entering,1.0
262,42.913836370309504,-78.8897417154927,4.0,Friday,3.0,Assault,3.0
263,42.8737591741977,-78.8629809428778,23.0,Wednesday,3.0,Breaking & Entering,5.0
264,42.8895573385046,-78.80312336558359,2.0,Saturday,11.0,Theft,2.0
265,42.91598374401379,-78.89624757525971,10.0,Wednesday,7.0,Breaking & Entering,3.0
266,42.9092854221746,-78.8033427569211,20.0,Thursday,6.0,Assault,2.0
267,42.8962567856459,-78.8148282210054,16.0,Saturday,10.0,Theft,5.0
268,42.930070276299205,-78.8486355797082,17.0,Friday,4.0,Assault,9.0
269,42.8520987530499,-78.80541454574359,4.0,Friday,5.0,Theft,6.0
270,42.850995989356704,-78.81026308949359,10.0,Thursday,12.0,Theft,6.0
271,42.934565748723,-78.8392698790958,22.0,Thursday,5.0,Assault,9.0
272,42.9244834200979,-78.8049276365567,11.0,Wednesday,9.0,Theft,8.0
273,42.9101891506699,-78.8774422357931,16.0,Wednesday,3.0,Theft,3.0
274,42.9582345052437,-78.84330240506371,11.0,Friday,9.0,Robbery,7.0
275,42.9139924342723,-78.87894204023941,23.0,Thursday,2.0,Theft,3.0
276,42.8943341000153,-78.8384495863815,0.0,Saturday,9.0,Assault,5.0
277,42.9408505288554,-78.872583687976,22.0,Saturday,5.0,Theft of Vehicle,1.0
278,42.836016008956896,-78.8071838352118,18.0,Thursday,4.0,Assault,6.0
279,42.894278141502205,-78.809181089717,18.0,Thursday,11.0,Theft,2.0
280,42.8934690085284,-78.8383310218545,8.0,Thursday,1.0,Theft,5.0
281,42.948005376023396,-78.85857212006141,17.0,Wednesday,5.0,Theft,7.0
282,42.9418826186798,-78.8171652251573,0.0,Monday,4.0,Assault,8.0
283,42.940487756950795,-78.90567088230841,2.0,Sunday,1.0,Assault,1.0
284,42.946431944129706,-78.9055550904145,22.0,Saturday,6.0,Assault,1.0
285,42.947516403600396,-78.8838947875019,14.0,Friday,3.0,Assault,1.0
286,42.8850097193664,-78.83926343295909,19.0,Tuesday,11.0,Theft,5.0
287,42.951125735842,-78.8359293101387,0.0,Tuesday,12.0,Theft,8.0
288,42.9054352410811,-78.8214318016848,13.0,Tuesday,10.0,Theft of Vehicle,5.0
289,42.9279153920698,-78.8771158284519,12.0,Tuesday,7.0,Theft,7.0
290,42.947576386627205,-78.87123320293159,8.0,Thursday,2.0,Theft,1.0
291,42.946445784247,-78.81303664597779,0.0,Thursday,7.0,Breaking & Entering,8.0
292,42.923936066315,-78.8773956106202,22.0,Tuesday,10.0,Theft,7.0
293,42.9253283316261,-78.80017450596229,1.0,Monday,3.0,Assault,8.0
294,42.9064764070116,-78.8870684210117,17.0,Monday,10.0,Theft,3.0
295,42.8670038497583,-78.80244650131691,4.0,Thursday,8.0,Theft of Vehicle,2.0
